M is representing peak till the message
Malloc-M represents malloc memory at the message
STATS:: |   |   before Check: FormalModel : M=1506.44mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   before DfgBuild: Setup : M=1506.44mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   after  DfgBuild: Setup : M=1506.44mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   before DfgBuild: Flatten : M=1506.44mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   after  DfgBuild: Flatten : M=1514.45mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   before DfgBuild: ClockSetup : M=1514.45mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   after  DfgBuild: ClockSetup : M=1514.45mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   before DfgBuild: Modeling : M=1514.45mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   after  DfgBuild: Modeling : M=1514.45mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   before DfgBuild: FlatRemodel : M=1514.45mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   after  DfgBuild: FlatRemodel : M=1514.45mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   before DfgBuild: NldfgBuild : M=1514.45mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   |   before NldfgBuild : Print statistics M=1514.45mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   |   after  NldfgBuild : Print statistics M=1514.45mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   |   before NldfgBuild : Cutpoint Insertion M=1514.45mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   |   after  NldfgBuild : Cutpoint Insertion M=1514.45mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   |   before NldfgBuild : Compute net equivalences M=1514.45mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   |   after  NldfgBuild : Compute net equivalences M=1514.45mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   |   before NldfgBuild : Eliminate bidirectionals M=1514.45mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   |   after  NldfgBuild : Eliminate bidirectionals M=1514.45mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   |   before NldfgBuild : Remove false combo loops M=1514.45mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   |   after  NldfgBuild : Remove false combo loops M=1514.45mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   |   before NldfgBuild : Create dfg M=1514.45mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   |   |   before NldfgBuild : Create graph M=1514.45mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   |   |   after  NldfgBuild : Create graph M=1514.45mb, Malloc-M=475mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   |   |   before NldfgBuild : Create terminal sinks and sources M=1514.45mb, Malloc-M=475mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   |   |   after  NldfgBuild : Create terminal sinks and sources M=1514.45mb, Malloc-M=475mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   |   |   before NldfgBuild : Compute dependencies M=1514.45mb, Malloc-M=475mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   |   |   after  NldfgBuild : Compute dependencies M=1514.45mb, Malloc-M=475mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   |   |   before NldfgBuild : Compute combinational SCCs M=1514.45mb, Malloc-M=475mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   |   |   after  NldfgBuild : Compute combinational SCCs M=1514.45mb, Malloc-M=475mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   |   |   before NldfgBuild : Compute templates M=1514.45mb, Malloc-M=475mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   |   |   after  NldfgBuild : Compute templates M=1514.45mb, Malloc-M=476mb, T=0s W=(2023-10-26 13:34:36)
